TWAS	GWAS	Overlapped
LOC100300510	PKNOX2	
LOC100335205	PKP4	
LOC100336282	PLA2G4A	
LOC100336381	PLCB1	
LOC100337495	PLEKHH2	
LOC100847410	PLEKHM1	
LOC100847495	PLG	
LOC100847802	PLXDC2	
LOC100847874	PLXNA2	
LOC100848405	PLXNA4	
LOC100848478	PNPLA6	
LOC100848684	POU2AF1	
LOC100848689	PPP3CA	
LOC100848940	PPYR1	
LOC100848941	PRKAB2	
LOC101901950	PRKCA	
LOC101902124	PRKCB	
LOC101902301	PRKD2	
LOC101902385	PRKN	
LOC101902612	PROK1	
LOC101902665	PRR16	
LOC101902724	PRRX2	
LOC101902820	PSD3	
LOC101902854	PSMF1	
LOC101902869	PTCHD4	
LOC101903114	PTEN	
LOC101903200	PTGER3	
LOC101903253	PTGFRN	
LOC101903281	PTPRC	
LOC101903375	PTPRD	
LOC101903402	PTPRN2	
LOC101903478	PTPRT	
LOC101903604	PTS	
LOC101903649	PURG	
LOC101904173	PWWP2B	
LOC101904314	QKI	
LOC101904344	QPRT	
LOC101904393	RAB18	
LOC101904413	RAB6B	
LOC101904468	RAD18	
LOC101904796	RAP1B	
LOC101904962	RAP2B	
LOC101904963	RAPGEF4	
LOC101905017	RAPH1	
LOC101905151	RARB	
LOC101905172	RASGEF1C	
LOC101905219	RBFOX1	
LOC101905267	RBMS3	
LOC101905312	RELN	
LOC101905357	RFX2	
LOC101905533	RFX7	
LOC101905593	RGCC	
LOC101905672	RHOBTB1	
LOC101905779	RIOK2	
LOC101905997	RIPOR2	
LOC101906008	RND3	
LOC101906240	RNF165	
LOC101906484	RNF175	
LOC101906569	RNF43	
LOC101906916	ROBO1	
LOC101907006	ROBO2	
LOC101907174	RPE65	
LOC101907668	RPS24	
LOC101908014	RPSA	
LOC101908015	RRM1	
LOC104968422	RRP1	
LOC104969024	RSL24D1	
LOC104969177	RTL6	
LOC104969259	RUBCNL	
LOC104969313	RUNX1T1	
LOC104969383	RYR2	
LOC104969384	SAMD7	
LOC104969545	SARAF	
LOC104970868	SASH1	
LOC104971359	SCAMP5	
LOC104971541	SCARA5	
LOC104971707	SCARB2	
LOC104972118	SCD5	
LOC104972390	SCHIP1	
LOC104972403	SCML4	
LOC104972574	SCP2	
LOC104972724	SCUBE1	
LOC104973099	SEMA3E	
LOC104973117	SERINC5	
LOC104973765	SERPINB5	
LOC104973793	SFTPA1	
LOC104973826	SFXN1	
LOC104973929	SH3D19	
LOC104974070	SHANK2	
LOC104974530	SHISA9	
LOC104975050	SHOX2	
LOC104975236	SIK1	
LOC104975635	SIPA1L2	
LOC104975977	SIPA1L3	
LOC104976274	SKOR2	
LOC107131323	SLA,TG	
LOC107131364	SLC17A1	
LOC107131418	SLC24A2	
LOC107131434	SLC25A36	
LOC107131652	SLC26A4	
LOC107131699	SLC2A1	
LOC107131807	SLC2A13	
LOC107131848	SLC30A5	
LOC107131939	SLC40A1	
LOC107132237	SLC5A7	
LOC107132255	SLC6A16	
LOC107132450	SLC9A4	
LOC107132490	SLCO2A1	
LOC107132556	SLCO3A1	
LOC107132724	SMARCAD1	
LOC107132962	SMC2	
LOC107133045	SMC5	
LOC107133280	SMG9	
LOC107133324	SMOC2	
LOC112441452	SNCA	
LOC112441545	SNTG2	
LOC112441566	SNX29	
LOC112441628	SOAT1	
LOC112441655	SOCS6	
LOC112441777	SORCS1	
LOC112441868	SORCS3	
LOC112442053	SOX5	
LOC112442057	SPATA16	
LOC112442095	SPATA5	
LOC112442226	SPECC1	
LOC112442246	SPERT	
LOC112442276	SPINK5	
LOC112442316	SPTBN5	
LOC112442382	SSUH2	
LOC112442414	ST3GAL1	
LOC112442484	ST6GALNAC3	
LOC112442559	ST8SIA4	
LOC112442613	STAB2	
LOC112442634	STARD13	
LOC112442706	STAT4	
LOC112442719	STAU2	
LOC112442754	STK38L	
LOC112442757	STOML3	
LOC112442823	STPG2	
LOC112443006	STRN4	
LOC112443177	STT3B	
LOC112443181	STXBP4	
LOC112443193	STXBP5L	
LOC112443463	SVIL	
LOC112443469	SWAP70	
LOC112443559	SYNGR1	
LOC112443696	SYNGR4	
LOC112443826	SYNJ2	
LOC112443877	SYNPO	
LOC112444209	SYT4	
LOC112444288	TACC1	
LOC112444351	TAF1B	
LOC112444463	TAPT1	
LOC112444563	TARDBP	
LOC112444603	TAT	
LOC112444843	TBC1D22A	
LOC112444904	TBC1D32	
LOC112444920	TBCE	
LOC112444924	TBX19	
LOC112444950	TCAF1	
LOC112444957	TCAIM	
LOC112444961	TCF4	
LOC112445952	TDRD5	
LOC112445965	TEAD1	
LOC112446021	TENM4	
LOC112446024	TEX15	
LOC112446053	TF	
LOC112446100	TFDP2	
LOC112446103	TG	
LOC112446104	TGFB3	
LOC112446454	TGFBR2	
LOC112446671	THADA	
LOC112446680	THEMIS2	
LOC112446708	THUMPD2	
LOC112446767	TIPRL	
LOC112446822	TIRAP	
LOC112447063	TK2	
LOC112447087	TLR5	
LOC112447103	TMC1	
LOC112447147	TMED3	
LOC112447320	TMEM108	
LOC112447460	TMEM150C	
LOC112447474	TMEM154	
LOC112447530	TMEM159	
LOC112447599	TMEM178A	
LOC112447766	TMEM225B	
LOC112447843	TMEM87B	
LOC112448070	TMPRSS9	
LOC112448075	TMTC3	
LOC112448165	TMX3	
LOC112448336	TNFAIP8L1	
LOC112448454	TNFRSF21	
LOC112448507	TNRC6B	
LOC112448511	TOPBP1	
LOC112448600	TOR4A	
LOC112448758	TRAK1	
LOC112448832	TRAP1	
LOC112448833	TRAPPC12	
LOC112448843	TRIM35	
LOC112448859	TRIM64	
LOC112448903	TRIQK	
LOC112449085	TRPC3	
LOC112449106	TRPM6	
LOC112449171	TSPAN18	
LOC112449295	TSPAN8	
LOC112449405	TSPYL5	
LOC112449406	TTC13	
LOC112449547	TTC28	
LOC112449548	TTC39B	
LOC112449553	TTC8	
LOC112449563	TTF2	
LOC112449591	TTLL5	
LOC112449609	TUB	
LOC504858	TULP4	
LOC507787	TXNDC9	
LOC509513	UBE2E3	
LOC511386	UBE2U	
LOC511936	UBE2W	
LOC512005	UCHL5	
LOC512684	UHRF1BP1L	
LOC513508	ULK4	
LOC513767	UNC13C	
LOC514011	UNC5C	
LOC515358	UNC5D	
LOC516355	UNC80	
LOC526769	UNC93A	
LOC527068	USP15	
LOC530599	USP28	
LOC533073	USP3	
LOC534181	USP33	
LOC534967	UTRN	
LOC537848	VANGL1	
LOC538060	VAT1L	
LOC613519	VPS41	
LOC614643	VWA2	
LOC614695	VWA3B	
LOC615733	WDPCP	
LOC615989	WDR26	
LOC616400	WDR27	
LOC616971	WDR72	
LOC617654	WISP1	
LOC618256	WLS	
LOC618541	WNT3A	
LOC618939	WNT7B	
LOC781158	WWOX	
LOC781254	XRCC4	
LOC781298	XXYLT1	
LOC781304	XYLT1	
LOC781576	XYLT2	
LOC782039	YPEL5	
LOC782061	YTHDF3	
LOC782348	ZAP70	
LOC782385	ZBTB41	
LOC782456	ZC3H8	
LOC782479	ZCCHC6	
LOC782675	ZFAT	
LOC782884	ZIM3	
LOC782966	ZMAT4	
LOC783294	ZNF614	
LOC783641	ZNF746	
LOC783657	ZNF777	
LOC783797	ZNHIT3	
LOC784054	ZP2	
LOC784243	ZYG11A	
LOC784251		
LOC784254		
LOC784354		
LOC784358		
LOC784866		
LOC784966		
LOC785216		
LOC785503		
LOC786139		
LOC786256		
LOC786512		
LOC786914		
LOC787812		
LOC788405		
LOC788648		
LOC788745		
LOC789192		
LOC789587		
LOXL2		
LPAR2		
LPAR3		
LRFN3		
LRIG1		
LRRC1		
LRRC25		
LRRC47		
LRRC72		
LRRC8E		
LRRFIP1		
LRRN1		
LRRN2		
LSM14A		
LSM8		
LSR		
LTB4R2		
LUC7L3		
LY6G5B		
LY75		
LY9		
LY96		
LYNX1		
LYSMD1		
LZTFL1		
LZTS1		
LZTS2		
MAATS1		
MAF1		
MAMDC2		
MAP1A		
MAP3K9		
MAP4		
MAP4K1		
MAP7		
MAP7D1		
MAPK13		
MAPK8IP1		
MAPK8IP3		
MAPKBP1		
MAPRE1		
MAPRE3		
MARVELD1		
MATK		
MBIP		
MBP		
MCAM		
MCEE		
MCPH1		
MCRIP2		
MCRS1		
MCTP2		
MDFI		
MDH2		
ME1		
ME3		
MED30		
MEF2A		
MEIOB		
MEIS2		
MEIS3		
MELK		
METAP1D		
METTL24		
METTL25		
METTL6		
MGME1		
MGMT		
MGST1		
MGST3		
MIA3		
MIB2		
MICAL3		
MICALL2		
MICU1		
MICU3		
MIF		
MIGA1		
MILR1		
MINDY4		
MINOS1		
MIR1248-1		
MIR2374		
MITF		
MKI67		
MLH3		
MLLT6		
MLXIPL		
MMD		
MMP17		
MMP25		
MNF1		
MNS1		
MOK		
MORF4L1		
MPC1		
MPDZ		
MPG		
MPI		
MPPE1		
MPV17L		
MPZL3		
MRFAP1L1		
MROH6		
MS4A8		
MSANTD3		
MSH3		
MSH6		
MSRB1		
MST1R		
MTCL1		
MTFR1L		
MTMR11		
MTMR7		
MTSS1L		
MTUS1		
MUM1		
MUS81		
MVB12B		
MXRA7		
MYCL		
MYH11		
MYH7B		
MYL6		
MYL9		
MYLK		
MYLK2		
MYO19		
MYO1C		
MYO1F		
MYO1G		
MYO5A		
MYO9A		
MYOF		
MYOM1		
MYT1L		
MYZAP		
MZT2B		
N4BP2L1		
N4BP2L2		
NAA30		
NAALADL2		
NACAD		
NACC2		
NAP1L1		
NAPG		
NAT14		
NBAS		
NBEA		
NCKAP1L		
NCOR1		
NCR3		
NDFIP2		
NDRG2		
NDRG4		
NDUFA11		
NDUFA12		
NDUFA3		
NDUFA4		
NDUFA5		
NDUFAB1		
NDUFAF8		
NDUFB2		
NDUFB7		
NDUFB9		
NDUFS4		
NDUFS6		
NECTIN1		
NECTIN4		
NEDD4		
NEFH		
NEIL1		
NEK1		
NELFA		
NEMF		
NEMP2		
NEURL4		
NEXN		
NFASC		
NFATC2IP		
NFATC4		
NFKB2		
NFKBIB		
NFKBIZ		
NFRKB		
NFU1		
NFYC		
NGDN		
NHEJ1		
NHLRC1		
NHSL1		
NIM1K		
NIPAL4		
NKAIN1		
NKG7		
NKPD1		
NLRC3		
NLRP1		
NMT1		
NODAL		
NOG		
NOS2		
NOVA1		
NPAS4		
NPM3		
NPR2		
NPTN		
NPTXR		
NR1H2		
NR6A1		
NRAS		
NRBP1		
NRDC		
NRDE2		
NRG1		
NRG2		
NRP2		
NRXN3		
NSMAF		
NSMCE1		
NSMCE2		
NSUN7		
NT5C3A		
NT5DC1		
NT5DC2		
NTN3		
NTNG1		
NUDC		
NUDT5		
NUDT7		
NUP133		
NUP88		
NUPR2		
NUSAP1		
OAF		
OASL		
OAZ2		
OBSL1		
OCLN		
OIP5		
OLFML1		
OLFML2B		
OPTN		
OSBPL6		
OSER1		
OSGIN1		
OSR1		
OST4		
OTUB1		
OTUB2		
OTULINL		
OVOL2		
OXCT1		
P2RX3		
P4HTM		
PABPC4		
PABPN1		
PACS2		
PACSIN3		
PAFAH1B1		
PAFAH2		
PAIP1		
PAIP2		
PAK6		
PALLD		
PAM		
PAN2		
PANK4		
PAPSS2		
PAQR6		
PARD3B		
PARK7		
PARP1		
PARP2		
PAX9		
PBK		
PBLD		
PBRM1		
PBX2		
PBXIP1		
PCBD1		
PCBP4		
PCDH9		
PCDHGA2		
PCED1B		
PCIF1		
PCK2		
PCM1		
PCMT1		
PCP4		
PCP4L1		
PDAP1		
PDE12		
PDE1B		
PDE4D		
PDE4DIP		
PDE6A		
PDE9A		
PDGFA		
PDLIM2		
PDLIM3		
PDLIM4		
PDLIM7		
PDSS1		
PDZD3		
PEG10		
PERM1		
PET100		
PET117		
PEX5		
PFDN2		
PFDN5		
PFDN6		
PFKM		
PFN2		
PGLS		
PGM5		
PGPEP1L		
PHAX		
PHB		
PHC1		
PHC2		
PHETA1		
PHF1		
PHF14		
PHF2		
PHF21A		
PHF24		
PHKG1		
PHLDA1		
PHLDB1		
PHLDB2		
PHLDB3		
PHPT1		
PHYHD1		
PIDD1		
PIEZO2		
PIGL		
PIK3CB		
PIK3CD		
PITPNA		
PITPNM3		
PJVK		
PKDCC		
PKIG		
PKP1		
PKP2		
PKP3		
PLA1A		
PLAUR		
PLB1		
PLBD1		
PLCB2		
PLCB4		
PLCD3		
PLCD4		
PLCH2		
PLD1		
PLEK2		
PLEKHF1		
PLEKHH2		
PLEKHO1		
PLIN2		
PLIN4		
PLK1		
PLK4		
PLK5		
PLN		
PLPP2		
PLTP		
PLXNA4		
PMFBP1		
PNMA8A		
PNN		
PNRC1		
POC1A		
POC5		
PODNL1		
POLD2		
POLR3F		
POLR3GL		
POMT1		
POPDC2		
POU2F3		
POU4F1		
PPARG		
PPARGC1A		
PPARG-TSEN2		
PPFIA4		
PPFIBP2		
PPIF		
PPIP5K2		
PPL		
PPM1H		
PPP1R12B		
PPP1R12C		
PPP1R13L		
PPP1R14A		
PPP1R14D		
PPP1R1A		
PPP2CB		
PPP2R1A		
PPP2R3B		
PRAP1		
PRC1		
PRCC		
PRDM11		
PRDM6		
PRDM8		
PRDX6		
PRELID1		
PRICKLE2		
PRKAB2		
PRKACA		
PRKAG2		
PRKCB		
PRKCE		
PRKCI		
PRKCZ		
PRKD1		
PRKG1		
PRKN		
PRKRA		
PRKRIP1		
PRMT1		
PRMT2		
PROK2		
PROM2		
PRPF19		
PRPF3		
PRPF40B		
PRPF6		
PRR36		
PRR5		
PRRX2		
PRSS12		
PRUNE2		
PSD		
PSMA5		
PSMB5		
PSMC1		
PSMC2		
PSMC3		
PSMC4		
PSMC5		
PSMD1		
PSMD4		
PSMD9		
PTGER3		
PTGIS		
PTK2		
PTOV1		
PTP4A3		
PTPDC1		
PTPN22		
PTPN3		
PTPN7		
PTPRA		
PTPRC		
PTPRF		
PTPRO		
PTPRZ1		
PTRH1		
PUSL1		
PVRIG		
PWP1		
PXDN		
PXMP2		
PYGB		
PYGM		
QSOX1		
R3HCC1		
RAB12		
RAB1B		
RAB25		
RAB26		
RAB34		
RAB37		
RAB3GAP1		
RAB3IP		
RABAC1		
RABEP1		
RABGAP1		
RAC2		
RAC3		
RAD17		
RAD23A		
RAD50		
RAI14		
RALGAPA2		
RALY		
RALYL		
RANBP3		
RAP2B		
RAPGEFL1		
RARRES1		
RASA1		
RASA3		
RASAL3		
RASGRP1		
RASGRP2		
RASL12		
RASSF1		
RASSF10		
RASSF5		
RASSF6		
RASSF8		
RAX2		
RBBP4		
RBBP8NL		
RBM12B		
RBM38		
RBM42		
RBM47		
RBM6		
RBM8A		
RBP1		
RBP2		
RBP7		
RBPMS		
RBPMS2		
RCAN2		
RCOR2		
RDH5		
REEP2		
REEP4		
RETREG1		
RETREG3		
REV3L		
RFC1		
RFTN2		
RGCC		
RGMB		
RGP1		
RGS12		
RGS14		
RGS2		
RGS3		
RHBDL1		
RHBG		
RHEX		
RHOC		
RHPN1		
RIC8B		
RILPL1		
RIN1		
RING1		
RINL		
RIOK2		
RIPK2		
RIPK4		
RIPOR2		
RMC1		
RMDN2		
RNASE13		
RNASEH1		
RNASEH2B		
RNASEH2C		
RNF150		
RNF167		
RNF170		
RNF215		
RNF220		
RNF223		
RNF25		
RNF34		
RNF43		
RNPC3		
ROGDI		
ROMO1		
RORC		
RPAP3		
RPUSD3		
RRAD		
RRAS		
RRBP1		
RSPO2		
RSU1		
RTF1		
RTF2		
RTL6		
RUNX1		
RUNX3		
RUSC1		
RUSC2		
RXRB		
RXYLT1		
RYR2		
RYR3		
S100A12		
S100A13		
S100A2		
S100A4		
SAC3D1		
SAE1		
SAFB		
SAFB2		
SAMD12		
SAMD8		
SAMSN1		
SAP30L		
SAPCD2		
SART1		
SAT2		
SATB1		
SCAND1		
SCCPDH		
SCGB1C1		
SCHIP1		
SCMH1		
SCN4B		
SCN7A		
SCNN1A		
SCPEP1		
SCRG1		
SCYL1		
SDC1		
SDE2		
SDHAF1		
SDHAF2		
SDR42E1		
SEC31B		
SEC61B		
SEC61G		
SEL1L3		
SELENBP1		
SELENOM		
SEMA3B		
SEMA4A		
SEMA6C		
SEMA6D		
SERHL2		
SERINC2		
SERPINB10		
SERPINB8		
SERPINF2		
SETD2		
SETD3		
SETDB1		
SEZ6		
SF3A3		
SF3B2		
SFRP5		
SFRS18		
SGCA		
SGCB		
SGCD		
SGMS2		
SH2D2A		
SH3BGR		
SH3BP1		
SH3BP2		
SH3D21		
SH3PXD2A		
SH3RF2		
SH3RF3		
SH3YL1		
SHBG		
SHF		
SHISA2		
SHISAL1		
SHMT1		
SHROOM1		
SHTN1		
SIDT1		
SIGLEC15		
SIPA1L1		
SIRT5		
SKA2		
SKI		
SLAMF1		
SLAMF6		
SLAMF7		
SLAMF9		
SLC15A3		
SLC15A4		
SLC16A1		
SLC16A6		
SLC16A7		
SLC16A9		
SLC18A2		
SLC22A16		
SLC22A18		
SLC22A23		
SLC22A3		
SLC23A1		
SLC24A3		
SLC25A12		
SLC25A23		
SLC25A4		
SLC25A41		
SLC26A10		
SLC2A11		
SLC2A12		
SLC2A4		
SLC2A8		
SLC35E3		
SLC35F1		
SLC38A1		
SLC39A7		
SLC43A1		
SLC44A3		
SLC45A4		
SLC46A1		
SLC4A3		
SLC4A9		
SLC6A17		
SLC6A20		
SLC6A4		
SLC7A6		
SLC8A1		
SLC8B1		
SLC9A3R1		
SLC9A5		
SLC9A9		
SLC9B2		
SLCO3A1		
SLMAP		
SLX4		
SMAD5		
SMAD7		
SMAP2		
SMARCA2		
SMARCAL1		
SMARCD3		
SMARCE1		
SMIM1		
SMIM13		
SMIM17		
SMIM5		
SMTN		
SMYD1		
SMYD4		
SNAP23		
SNAPC3		
SNHG4		
SNN		
SNPH		
SNRNP48		
SNRPD3		
SNRPF		
SNUPN		
SNURF		
SNX1		
SNX25		
SORBS1		
SORBS2		
SORL1		
SOX10		
SOX8		
SPAG7		
SPARCL1		
SPATA7		
SPDYA		
SPEG		
SPEM1		
SPHK2		
SPI1		
SPICE1		
SPINDOC		
SPIRE2		
SPN		
SPSB3		
SPSB4		
SPTBN4		
SPX		
SRBD1		
SRF		
SRSF5		
SSBP2		
SSBP3		
SSPN		
SSSCA1		
ST14		
ST5		
ST6GALNAC2		
ST7L		
STAP2		
STAR		
STARD13		
STARD5		
STAT2		
STAT4		
STIM1		
STIP1		
STK11		
STK17A		
STK39		
STOM		
STOML1		
STRBP		
STX18		
STX1A		
STXBP2		
STYK1		
SUFU		
SUGP1		
SUGP2		
SULF1		
SUPT3H		
SUSD1		
SUSD3		
SVIL		
SYBU		
SYCE1L		
SYK		
SYMPK		
SYNC		
SYNE1		
SYNGR1		
SYNM		
SYNPO2		
SYT17		
SYT2		
SYTL1		
TACC1		
TACC2		
TACO1		
TACR1		
TADA2A		
TADA3		
TAF15		
TAF3		
TAGAP		
TAGLN		
TANGO6		
TAOK2		
TAOK3		
TARBP2		
TARSL2		
TBC1D1		
TBC1D17		
TBC1D22A		
TBC1D23		
TBC1D30		
TBC1D31		
TBCB		
TBCK		
TBX1		
TCAIM		
TCEA2		
TCF21		
TCF7L1		
TCOF1		
TDRD3		
TEAD3		
TEC		
TEF		
TELO2		
TENM2		
TERF2IP		
TERT		
TES		
TESPA1		
TEX9		
TFAP2A		
TFAP2C		
TFCP2L1		
TFDP2		
TFEB		
TFPT		
TGFB1I1		
TGFBI		
THBS3		
TIAM1		
TICAM2		
TINAGL1		
TIPARP		
TLK2		
TLN1		
TLN2		
TLX2		
TM6SF1		
TMA16		
TMC4		
TMCC2		
TMEM141		
TMEM144		
TMEM154		
TMEM156		
TMEM161B		
TMEM178A		
TMEM184A		
TMEM186		
TMEM191C		
TMEM198		
TMEM199		
TMEM210		
TMEM218		
TMEM237		
TMEM243		
TMEM249		
TMEM252		
TMEM253		
TMEM256		
TMEM63B		
TMEM67		
TMEM71		
TMEM72		
TMEM86B		
TMEM88B		
TMEM92		
TMEM97		
TMOD4		
TMPRSS13		
TMPRSS5		
TMTC2		
TNFRSF18		
TNFRSF8		
TNFSF8		
TNKS2		
TNRC6C		
TNS1		
TNS4		
TOMM5		
TOR4A		
TPCN1		
TPGS1		
TPGS2		
TPM1		
TPM2		
TPMT		
TPR		
TRAF3IP3		
TRAF4		
TRAFD1		
TRERF1		
TRIAP1		
TRIM11		
TRIM17		
TRIM2		
TRIM29		
TRIM3		
TRIM45		
TRIM47		
TRIM56		
TRIM63		
TRIOBP		
TRIP12		
TRIP4		
TRIP6		
TRMT1		
TRMT11		
TRMT112		
TRMT12		
TRMT13		
TRNT1		
TRPA1		
TRPC1		
TRPC4AP		
TRPC6		
TRPM2		
TRPV1		
TRPV4		
TSC1		
TSEN2		
TSFM		
TSLP		
TSPAN11		
TSPAN12		
TSPAN15		
TSPAN2		
TSPAN3		
TSPOAP1		
TSPYL5		
TSSC4		
TSTD1		
TTBK2		
TTC21A		
TTC21B		
TTC22		
TTC23		
TTC3		
TTC39C		
TTC7B		
TTC8		
TTC9B		
TTF1		
TTLL10		
TTLL7		
TTYH3		
TUBA1A		
TUBA1C		
TUBG1		
TUT1		
U2AF1		
U2AF1L4		
UBA52		
UBAC1		
UBASH3A		
UBE2G2		
UBE2Q2		
UBE2QL1		
UBE3B		
UBFD1		
UBL5		
UCHL3		
UCHL5		
UGGT2		
UHRF1		
UHRF1BP1		
UIMC1		
ULK2		
ULK3		
UNC45A		
UNK		
UPF2		
UPK3B		
UQCRB		
UROD		
USP13		
USP25		
USP28		
USP33		
USP43		
USP7		
UTP11		
UXS1		
VAMP2		
VASP		
VAV1		
VCL		
VEGFA		
VIRMA		
VPS13C		
VPS36		
VPS45		
VSIG10L		
VSNL1		
VSTM2L		
VWA7		
WASF3		
WASHC1		
WBP4		
WDR33		
WDR53		
WDR5B		
WDR60		
WDR61		
WDR70		
WDR83		
WDR90		
WDR91		
WFDC1		
WHRN		
WNK2		
WNT10A		
WNT3A		
WNT7B		
WNT9A		
WSB1		
WSCD2		
WWC1		
XAB2		
XRCC1		
XRCC6		
XXYLT1		
XYLT2		
YIPF1		
YME1L1		
YPEL3		
ZBTB43		
ZBTB45		
ZBTB47		
ZC3H12D		
ZC3H13		
ZC3H6		
ZC3H7A		
ZC3H8		
ZC3HC1		
ZCCHC9		
ZCWPW2		
ZDHHC4		
ZFP57		
ZFP62		
ZFPM2		
ZFYVE9		
ZHX2		
ZHX3		
ZKSCAN7		
ZMAT2		
ZMYND11		
ZNF12		
ZNF133		
ZNF140		
ZNF18		
ZNF263		
ZNF266		
ZNF296		
ZNF319		
ZNF32		
ZNF34		
ZNF382		
ZNF385D		
ZNF438		
ZNF445		
ZNF45		
ZNF512B		
ZNF516		
ZNF532		
ZNF605		
ZNF618		
ZNF638		
ZNF641		
ZNF705A		
ZNF706		
ZNF768		
ZNF774		
ZNF784		
ZNF814		
ZNF853		
ZNRF1		
ZPBP		
ZSCAN12		
ZSCAN21		
ZSCAN26		
ZSWIM9		
ZUP1		
ZYX		
