TWAS	GWAS	Overlapped
BTNL9	DNM2	
BTRC	DOK6	
BZW2	DPF3	
C10H14orf93	DPP10	
C10H15orf59	DPY19L3	
C13H20orf194	DPYD	
C13H20orf202	DSC3	
C14H8orf59	DSCAM	
C16H1orf116	DSEL	
C16H1orf159	DTHD1	
C16H1orf74	DTNA	
C18H16orf86	DUSP10	
C18H19orf18	DUSP26	
C18H19orf48	DYRK1A	
C19H17orf49	EBF2	
C19H17orf75	ECEL1	
C1QBP	EDC3	
C1QTNF12	EEF1AKMT2	
C21H14orf132	EFCAB5	
C21H14orf28	EFCAB6	
C21H15orf39	EFNA3	
C23H6orf132	EFNA5	
C25H16orf71	EFR3A	
C3H1orf210	EGFLAM	
C3H1orf216	EI24	
C4H7orf57	ELP3	
C5H12orf57	ELSPBP1	
C5H22orf23	EMCN	
C6H4orf48	EME1	
C7H19orf44	EML1	
C7H19orf70	ENAH	
C7H19orf71	ENOX1	
C7H1orf35	ENTPD6	
C8H8orf58	EP400	
C9H6orf120	EPHA7	
C9H6orf163	EPHB1	
CA1	ERBB4	
CA13	ERCC4	
CA14	ERICH6B	
CAB39	ETV6	
CABP7	EXOC4	
CACNA1C	EXOG	
CACNA1G	EXTL3	
CACNA1H	F11R	
CACNA2D1	FAM107B	
CADM4	FAM135A	
CALCOCO1	FAM167A	
CALD1	FAM172A	
CALML4	FAM173B	
CAMK1	FAM19A2	
CAMK2G	FAM19A5	
CAMSAP3	FAM216A	
CAP1	FAM83B	
CAP2	FANCI	
CAPNS1	FAP	
CAPRIN2	FARP1	
CARMIL2	FASTKD3	
CARS	FAT3	
CASC1	FBLN7	
CASS4	FBXL22	
CAV1	FBXL7	
CAVIN1	FBXO36	
CBLC	FBXW7	
CBLN4	FCER1A	
CBX1	FDCSP	
CBX7	FER	
CC2D2A	FGF18	
CCAR2	FHIT	
CCDC107	FICD	
CCDC112	FKRP	
CCDC124	FOXM1	
CCDC13	FREM2	
CCDC149	FRMPD2	
CCDC153	FSTL5	
CCDC173	FUT10	
CCDC174	FXYD6	
CCDC183	GADD45A	
CCDC197	GALNT5	
CCDC59	GAP43	
CCDC66	GAS2L3	
CCDC69	GBA3	
CCDC77	GBP4	
CCDC85A	GCG	
CCDC9	GCK	
CCDC9B	GDF10	
CCHCR1	GDPD4	
CCKAR	GIMAP4	
CCNB1	GIMAP6	
CCNL2	GLRA1	
CCR7	GMPR	
CCSER1	GNA12	
CCT2	GNG7	
CCT7	GPAT2	
CD244	GPATCH8	
CD28	GPM6A	
CD2BP2	GPN3	
CD300LF	GPR139	
CD38	GPR149	
CD3D	GPR160	
CD3E	GPR39	
CD4	GRB14	
CD48	GRIA4	
CD5	GRID2	
CD53	GRIK2	
CD55	GRIK4	
CD6	GRIN2B	
CD63	GRIN3A	
CD7	GRM7	
CDA	GUCY1A2	
CDADC1	GYPC	
CDC25C	HAO2	
CDC37	HDAC4	
CDC42BPG	HDAC9	
CDCP1	HERC1	
CDH16	HES1	
CDH19	HEXA	
CDHR4	HEY2	
CDK1	HHEX	
CDK3	HHLA1	
CDK8	HINT1	
CDKN2A	HIST1H2AA	
CDS1	HIST1H3C	
CEBPZ	HMGN3	
CECR2	HNF4G	
CELF1	HS3ST4	
CELF6	HS3ST5	
CELSR2	HSPA1L	
CENPA	HSPBAP1	
CENPC	HTR4	
CENPN	IER5	
CENPO	IFIH1	
CENPT	IFNAD	
CEP131	IFNL3	
CEP250	IFT52	
CEP63	IGF2	
CEP70	IGLL1	
CERS2	IGSF21	
CES4A	IGSF23	
CFAP36	IL16	
CFAP53	IL22	
CFAP54	IL3	
CFAP57	IMMP2L	
CFAP69	INPP4B	
CFDP1	INTU	
CFL1	IPO8	
CFL2	IPP	
CGN	IRX1	
CHCHD10	ISLR	
CHCHD5	ITGA3	
CHCHD7	ITGA9	
CHD1L	ITPK1	
CHD3	ITPR2	
CHL1	JAKMIP1	
CHMP4A	JAM2	
CHP2	JPH1	
CHRDL2	JSP.1	
CHRM2	KANSL1	
CHRM3	KAZN	
CHRNA3	KCNB2	
CHRNA5	KCNH8	
CIR1	KCNJ6	
CIRBP	KCNK10	
CIT	KCNK2	
CKAP5	KCNQ3	
CKB	KCNS3	
CKM	KCNU1	
CKMT1A	KCNV1	
CKMT2	KCNV2	
CLASP2	KDM1A	
CLCA2	KHDRBS3	
CLCC1	KIAA0391	
CLCN2	KIAA0556	
CLDN5	KIAA1211L	
CLDN7	KIAA1551	
CLEC7A	KIF13B	
CLIC1	KIF25	
CLIC3	KIF26A	
CLMP	KIF26B	
CLP1	KIRREL3	
CLTB	KIZ	
CMYA5	KLF12	
CNKSR1	KNTC1	
CNN2	KRTAP24-1	
CNTLN	KYNU	
CNTNAP2	L3MBTL3	
COA3	LACC1	
COA6	LAMC2	
COG5	LARGE1	
COL13A1	LAX1	
COL17A1	LCLAT1	
COL24A1	LHFPL3	
COL26A1	LIMS2	
COL4A1	LIN9	
COL4A2	LINGO1	
COL6A1	LINGO2	
COL6A3	LMX1A	
COL7A1	LNX1	
COLQ	LOC100137823	
COMMD1	LOC100137965	
COPB2	LOC100138089	
COPG2	LOC100138140	
COPS6	LOC100138409	
COPS9	LOC100138521	
COQ6	LOC100138575	
COQ8A	LOC100138889	
CORO1A	LOC100139060	
CORO1C	LOC100139622	
CORO6	LOC100139731	
COX4I2	LOC100139931	
COX5A	LOC100140038	
COX6B1	LOC100140493	
COX7A1	LOC100140587	
COX7C	LOC100140955	
CPED1	LOC100141157	
CPSF3	LOC100141168	
CPT1B	LOC100141228	
CPXM2	LOC100295631	
CRB3	LOC100295869	
CREB3	LOC100296121	
CREB3L3	LOC100296234	
CRELD1	LOC100296952	
CRISPLD1	LOC100297130	
CROCC	LOC100297170	
CRTC1	LOC100298331	
CRYBG2	LOC100299242	
CRYZL1	LOC100299686	
CSKMT	LOC100299995	
CSNK1E	LOC100300446	
CSNK2B	LOC100300510	
CSPG4	LOC100300716	
CSPG5	LOC100301248	
CSRP1	LOC100301305	
CTIF	LOC100335229	
CTTNBP2	LOC100335602	
CUEDC2	LOC100335748	
CUL1	LOC100336282	
CUL2	LOC100336567	
CWC15	LOC100336602	
CWC25	LOC100336941	
CWC27	LOC100336944	
CWF19L2	LOC100336980	
CXXC5	LOC100337355	
CYGB	LOC100337390	
CYP20A1	LOC100847320	
CYP26A1	LOC100847561	
CYP26B1	LOC100847841	
CYP2S1	LOC100848024	
CYTIP	LOC100848056	
DAAM2	LOC100848320	
DAD1	LOC100848665	
DAP	LOC100848774	
DAPL1	LOC100848886	
