group	chao1	shannon
Bacteria	963.1754386	5.136583
Bacteria	1448.443038	8.925972
Bacteria	1199.2	8.788638
Bacteria	963.875	5.181374
Bacteria	1469.671642	9.084834
Bacteria	1110.411765	7.800065
Bacteria	1063.519231	7.745097
Bacteria	1584.347826	9.182455
Bacteria	1436.43617	8.096189
Bacteria	1356.017241	7.499027
Bacteria	1524.613333	9.285463
Bacteria	1368.967213	8.603191
Bacteria	1287.916667	8.038431
Bacteria	1539.375	9.500388
Bacteria	1237.655172	8.532661
Bacteria	1465.846154	7.221535
Bacteria	1359.283582	9.076851
Bacteria	1595.220588	9.379837
Bacteria	1632.069767	9.231169
Bacteria	1346.253521	8.933038
Bacteria	1666.387097	9.448266
Bacteria	1277.8	8.350834
Bacteria	1227.380282	8.565447
Bacteria	1363.561644	9.061553
Bacteria	1395.764706	9.325279
Bacteria	1213.95	9.219369
Bacteria	1268.153846	9.129757
Bacteria	1457.467532	9.223142
Bacteria	1421.411765	9.149121
Bacteria	1202.515152	8.810452
Bacteria	1354.323944	9.082761
Bacteria	1527.3	9.30667
Bacteria	1450.666667	9.020421
Bacteria	1418.012346	9.151213
Bacteria	1107.294118	7.428572
Bacteria	1149.02381	8.857309
Bacteria	1218.796875	8.50888
Bacteria	1125.622222	8.935579
Bacteria	1075.28169	8.892986
Bacteria	1114.797101	8.840806
Bacteria	1350.518519	8.916557
Bacteria	1576.075	9.243203
Bacteria	1080.842105	8.215445
Bacteria	1046.025	8.869089
Bacteria	1430.375	8.752497
Bacteria	1024.081967	8.6076
Bacteria	1522.5	9.547867
Bacteria	1209.957746	8.96693
Bacteria	1476.655172	9.174318
Bacteria	1264.68	7.032219
Bacteria	1137.918033	8.704719
Bacteria	1287.113924	8.50874
Bacteria	988.7971014	7.615164
Bacteria	1193.559322	7.888303
Bacteria	1578.28125	9.181914
Bacteria	892	8.660715
Bacteria	697.3225806	7.726373
Bacteria	1527.789474	9.419055
Bacteria	1064.022222	8.051127
Bacteria	699.3030303	7.914426
Bacteria	1309.454545	9.16663
Bacteria	919.4716981	7.926483
Bacteria	696.5675676	8.328092
Bacteria	972.9672131	8.399313
Bacteria	1194.125	8.936568
Bacteria	941.25	5.305942
Bacteria	799.0545455	5.344216
Bacteria	931.0222222	7.942336
Bacteria	949.8928571	8.433236
Bacteria	974.5	8.788011
Bacteria	871.1333333	7.786248
Bacteria	603.0666667	8.040797
Bacteria	655.7142857	7.482067
Bacteria	432.2352941	6.511649
Bacteria	483.0769231	7.398587
Bacteria	790.2727273	7.455621
Bacteria	724	7.693871
Bacteria	462.04	3.46132
Bacteria	1043.184211	7.914689
Bacteria	848.3870968	7.50136
Bacteria	1076.2	8.842196
Bacteria	532.2758621	4.886465
Bacteria	826.0384615	7.992493
Bacteria	736.6666667	7.304586
Bacteria	926.5	5.13379
Bacteria	1090.245902	7.49069
Bacteria	951.9148936	8.528508
Bacteria	512.2564103	2.408374
Bacteria	1315.54902	7.727382
Bacteria	322.1428571	6.969431
Bacteria	805.59375	8.437668
Bacteria	1279.018519	9.179207
Bacteria	1156.058824	6.735018
Bacteria	1065.591837	8.247745
Bacteria	543.0555556	6.939708
Bacteria	644.1290323	6.499701
Bacteria	375.5	2.041238
Bacteria	416	3.729937
Bacteria	1373.245283	9.262554
Bacteria	1157.40625	8.913233
Bacteria	979.3414634	8.236338
Bacteria	1045.333333	8.705612
Bacteria	1317.352941	8.823665
Bacteria	1102.72	8.941695
Bacteria	640.6764706	2.479588
Bacteria	668.75	2.304311
Bacteria	1074.825	8.816007
Bacteria	983.1052632	8.687384
Bacteria	1676.655172	9.574058
Bacteria	906.7884615	8.378936
Bacteria	1038.609756	8.806664
Bacteria	1085.44186	8.861724
Bacteria	1142.551724	9.009374
Bacteria	1252	8.911098
Bacteria	1209.615385	9.070046
Bacteria	1316.185185	9.230279
Bacteria	806.6216216	6.672605
Bacteria	1179.4	8.847772
Bacteria	1398.8	9.165538
Bacteria	640.1935484	7.198267
Bacteria	795.525	8.299523
Bacteria	563.2857143	7.458271
Bacteria	1184.033898	8.350121
Bacteria	1172.865385	8.99042
Bacteria	916.6756757	8.425392
Bacteria	1132.769231	8.931574
Bacteria	1112.842105	8.954516
Bacteria	1264.178082	8.883624
Bacteria	1124.375	8.974737
Bacteria	1099.272727	9.084783
Bacteria	1151.418605	9.131256
Bacteria	948.5283019	8.480452
Bacteria	1126	8.686141
Bacteria	1263.932203	9.089016
Bacteria	1133.358491	9.048406
Bacteria	1128.6	8.452187
Bacteria	1055.166667	8.794709
Bacteria	1177	9.085556
Bacteria	1036.323529	8.665168
Bacteria	1319.754098	9.219125
Bacteria	1085.714286	8.928157
Bacteria	991.0789474	8.420141
Bacteria	1129.170213	8.985519
Bacteria	1354.803571	9.405222
Bacteria	1265.153846	9.199131
Bacteria	1256.1875	9.214235
Bacteria	1164.775862	9.06478
Bacteria	1134.108696	8.7783
Bacteria	899.5277778	8.573376
Bacteria	1640.891566	9.445847
Bacteria	1146.166667	8.685885
Bacteria	1058.0625	8.956559
Bacteria	1219.886792	9.04287
Bacteria	1323	9.360859
Bacteria	1088.857143	8.873247
Bacteria	907.5957447	8.116384
Bacteria	1296.5	9.091168
Bacteria	1182.333333	8.28993
Bacteria	1020	8.597957
Bacteria	1079.926829	8.992244
Bacteria	736.12	7.394802
Bacteria	1062.341463	9.028541
Bacteria	1407.25	9.276512
Bacteria	1174.857143	9.097994
Bacteria	1037.944444	8.769271
Bacteria	1268.109375	9.313284
Bacteria	1298.217391	9.056145
Bacteria	1260.815385	9.268578
Bacteria	903.037037	8.230008
Bacteria	1057.625	8.153324
Bacteria	1073.282609	8.862007
Bacteria	775.0384615	8.285888
Bacteria	819.6428571	8.457394
Bacteria	909.3235294	8.682837
Bacteria	1179.508475	9.194202
Bacteria	1262.43662	9.157289
Bacteria	1125.55	9.17309
Bacteria	855.7333333	8.596374
Bacteria	1232.5	9.168684
Bacteria	1216.615385	9.244377
Bacteria	1276.372881	8.898378
Bacteria	1113.02381	9.046214
Bacteria	1067.769231	9.140672
Bacteria	1335.679245	9.223151
Bacteria	1086.118644	8.990915
Bacteria	987.875	8.908132
Bacteria	936.097561	8.795572
Bacteria	874.9473684	8.351135
Bacteria	846.7	8.440575
Bacteria	924.7272727	8.853789
Bacteria	1071.6	9.089578
Bacteria	1708.753623	9.430667
Bacteria	1082.448276	9.036644
Bacteria	1270.424242	9.240234
Bacteria	1194.471698	9.036781
Bacteria	1153.418605	9.132623
Bacteria	1261.482759	9.28879
Bacteria	1166.865385	9.028637
Bacteria	838.9166667	8.364218
Bacteria	819.1666667	8.307994
Bacteria	858.9375	8.576318
Bacteria	907.625	8.656614
Bacteria	1557.267857	9.400305
Bacteria	779.5294118	8.258833
Bacteria	1372.5	8.829755
Bacteria	741.4594595	8.028238
Bacteria	1119.3125	9.21796
Bacteria	1732.674419	9.581679
Bacteria	1702.635135	9.715594
Bacteria	1150.681818	9.162901
Bacteria	1593.081081	9.570172
Bacteria	706.7307692	7.708025
Bacteria	1475.904762	9.31741
Bacteria	909	8.659214
Bacteria	987.0169492	8.85341
Bacteria	953.2195122	8.795464
Bacteria	1265.681818	9.30364
Bacteria	909.12	7.31567
Bacteria	1129	9.038206
Bacteria	1319.084746	9.16266
Bacteria	993.2790698	8.854359
Bacteria	819.0526316	8.602913
Bacteria	1183.8125	9.048737
Bacteria	1457.2	9.222683
Bacteria	950.45	8.789683
Bacteria	961.1428571	8.842419
Bacteria	1965.03	9.833125
Bacteria	668.1111111	8.03774
Bacteria	1315.035714	9.371341
Bacteria	1773.310811	9.671212
Bacteria	1006.914894	8.852183
Bacteria	1145.583333	9.140264
Bacteria	779.3636364	7.49118
Bacteria	997.1081081	9.030621
Bacteria	1405.037736	9.205591
Bacteria	1053.902439	9.07322
Bacteria	1019.25	8.89578
Bacteria	1169.52459	9.096716
Bacteria	1134.55814	8.922419
Bacteria	617.3703704	7.335346
Bacteria	806.2307692	7.317722
Bacteria	1207.424242	9.042546
Bacteria	903.2380952	8.596076
Bacteria	938.8	8.634689
Bacteria	1710.109756	9.475841
Bacteria	868.6382979	8.258303
Bacteria	848.8235294	8.385766
Bacteria	1153.560606	9.183077
Bacteria	1292.205128	9.365946
Bacteria	1002.163265	8.773152
Bacteria	1202.333333	9.195365
Bacteria	775.0769231	8.708716
Bacteria	989.5789474	8.979176
Bacteria	788.5714286	8.208774
Bacteria	949.9166667	7.909523
Bacteria	1405.348837	8.829969
Bacteria	1057.078431	8.599787
Bacteria	684.5333333	7.788411
Bacteria	1128.295775	9.053165
Bacteria	982.6851852	6.892593
Bacteria	946.0222222	8.689494
Bacteria	1151.384615	9.179907
Bacteria	734.6666667	8.285925
Bacteria	978.6756757	8.259657
Bacteria	1222.2	9.204499
Bacteria	1235.380952	8.842787
Bacteria	1357.794118	8.884598
Bacteria	715.4054054	6.903125
Bacteria	828.3333333	7.750979
Bacteria	831.2777778	8.487286
Bacteria	761.5172414	8.144541
Bacteria	766.0909091	8.433473
Bacteria	642.2	7.901245
Bacteria	773.6896552	8.38634
Bacteria	1137.654545	9.161597
Bacteria	682.2857143	7.010769
Bacteria	1299.583333	9.113777
Bacteria	1425.62069	9.331149
Bacteria	1404.444444	9.251742
Bacteria	1054.568182	8.729699
Bacteria	918.6111111	8.9398
Bacteria	1020.775	8.922021
Bacteria	1217.83871	9.245216
Bacteria	1118.306122	8.963634
Bacteria	1278	9.251728
Bacteria	1233.092308	9.127946
Bacteria	1305.310345	9.303339
Bacteria	983.8095238	8.795265
Bacteria	1150.2	9.019504
Bacteria	1651.820896	9.422265
Bacteria	1058.016393	9.180334
Bacteria	1279.736842	9.158827
Bacteria	1040.428571	8.709443
Bacteria	1163.645833	9.281861
Bacteria	1262.842105	9.293258
Bacteria	1155.789474	9.170537
Bacteria	1414.643836	9.415662
Bacteria	921.3333333	8.821952
Bacteria	863.4	8.757192
Bacteria	958.9166667	8.859221
Bacteria	1706.22973	9.478068
Bacteria	930.1176471	8.381969
Bacteria	780.9032258	8.099641
Bacteria	1221.909091	9.269712
Bacteria	1547.241935	9.433087
Bacteria	1440.029851	9.500452
Bacteria	1331.75	9.282702
Bacteria	1109.566038	8.93518
Bacteria	1221.956522	8.921039
Bacteria	1246.387097	9.195736
Bacteria	860.7575758	8.200559
Bacteria	1461.123457	9.37553
Bacteria	1573.045455	9.626536
