Heritability		Expressability		TWAS genes	
Core	Random	Core	Random	Core	Random
0.271316	0.433734	0.366598	0.016321	3	0
0.359908	0.314673	0.645734	0.000001	0	0
0.396106	0.268411	0.954155	0.000001	6	0
0.408572	0.000001	0.618665	0.242866	978	0
0.345865	0.000001	0.429314	0.000001	0	0
0.369541	0.002026	0.726598	0.265761	10	68
0.32914	0.260257	0.848021	0.017251	46	0
0.274894	0.387524	0.631295	0.456447	2	0
0.613318	0.233163	0.737305	0.028034	68	0
0.301863	0.233163	0.595136	0.028034	2	0
0.151299	0.233163	0.233422	0.028034	2	0
0.613316	0.189495	0.737305	0.048165	68	0
0.301868	0.366329	0.595139	0.304079	2	1318
0.323707	0.67055	0.836193	0.000001	4	0
0.613316	0.000001	0.737305	0.06276	68	0
0.301868	0.123183	0.595139	0.326466	2	0
0.323707	0.448777	0.836193	0.067471	4	3
0.613316	0.39208	0.737305	0.790785	68	0
0.301868	0.000001	0.595139	0.152685	2	1
0.323707	0.47125	0.836193	0.01492	4	0
0.616045	0.336807	0.706298	0.050158	74	0
0.292839	0.201779	0.61259	0.007514	1	0
0.000001	0.30126	0.152685	0.885658	1	0
0.556445	0.189495	0.943909	0.048165	3	0
0.491822	0.208598	0.364661	0.000001	49	1
0.413226		0.965958		4	
0.604113		0.625499		59	
0.473382		0.653701		6	
0.333048		0.654964		11	
0.364729		0.155267		5	
0.274633		0.023453		0	
0.325496		0.494968		1	
0.368706		0.434715		25	
0.520144		0.914581		2	
0.454656		0.982042		5	
0.448598		0.576456		4	
0.483466		0.833186		27	
0.696676		0.902818		288	
0.452449		0.370302		0	
